loan_amnt,term,int_rate,installment,emp_length,annual_inc,dti,fico_range_low,fico_range_high,mths_since_last_delinq,mths_since_last_record,last_fico_range_high,last_fico_range_low,earliest_cr_line_age,TotalGain,LoanStatus,LifeOfLoan,PvGain,home_ownership_MORTGAGE,home_ownership_NONE,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_small_business,purpose_vacation,purpose_wedding,initial_list_status_f,application_type_Individual,disbursement_method_Cash,sub_grade
5000.0,36.0,9.33,159.77,2.0,180000.0,11.93,715.0,719.0,0.0,0.0,719.0,715.0,149.0,751.53,0.0,36.0,145.56242892927742,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8
5000.0,36.0,8.07,156.84,1.0,180000.0,5.55,740.0,744.0,0.0,0.0,744.0,740.0,133.0,645.96,0.0,36.0,125.11477464792628,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4
3000.0,36.0,8.7,94.98,1.0,25000.0,14.54,750.0,754.0,0.0,0.0,724.0,720.0,82.0,419.14,0.0,36.0,81.18243644487559,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6
10000.0,36.0,10.28,323.98,1.0,27376.0,10.7,710.0,714.0,0.0,0.0,684.0,680.0,46.0,1662.89,0.0,36.0,322.08202924993816,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,11
3000.0,36.0,10.28,97.2,2.0,200000.0,0.0,675.0,679.0,19.0,0.0,819.0,815.0,125.0,498.86,0.0,36.0,96.62325295817776,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11
5000.0,36.0,11.22,164.23,1.0,30000.0,18.64,700.0,704.0,0.0,0.0,719.0,715.0,171.0,912.05,0.0,36.0,176.6532451198853,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14
5300.0,36.0,8.38,167.02,7.0,74000.0,14.37,795.0,799.0,0.0,0.0,694.0,690.0,185.0,712.56,0.0,36.0,138.01440309481444,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5
5400.0,36.0,7.75,168.6,1.0,8000.0,3.0,760.0,764.0,0.0,0.0,719.0,715.0,220.0,669.34,0.0,36.0,129.64320277237442,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
5100.0,36.0,8.38,160.72,4.0,32000.0,14.78,770.0,774.0,0.0,0.0,774.0,770.0,145.0,679.03,0.0,33.0,143.1469965474289,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5
25000.0,36.0,10.59,813.65,2.0,48000.0,4.05,760.0,764.0,0.0,0.0,754.0,750.0,90.0,4269.96,0.0,35.0,850.1166032986425,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,12
5000.0,36.0,7.43,155.38,8.0,120000.0,2.29,775.0,779.0,0.0,0.0,774.0,770.0,117.0,593.63,0.0,36.0,114.97907559949302,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2
5000.0,36.0,7.43,155.38,7.0,95000.0,3.83,770.0,774.0,0.0,0.0,774.0,770.0,84.0,593.63,0.0,36.0,114.97907559949302,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2
5000.0,36.0,7.43,155.38,8.0,150000.0,0.0,775.0,779.0,0.0,0.0,779.0,775.0,235.0,174.19,0.0,6.0,122.63016074651432,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2
3500.0,36.0,9.96,112.87,1.0,13500.0,16.44,710.0,714.0,0.0,0.0,679.0,675.0,55.0,442.01,0.0,20.0,147.614836731274,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10
5000.0,36.0,9.01,159.03,1.0,250000.0,10.0,710.0,714.0,5.0,4.016460905349795,749.0,745.0,51.0,725.02,0.0,36.0,140.4277570054485,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,7
2700.0,36.0,15.96,94.88,1.0,52200.0,12.57,625.0,629.0,0.0,0.0,679.0,675.0,47.0,715.39,0.0,36.0,138.5625404597498,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,29
12250.0,36.0,10.59,398.69,3.0,60000.0,17.12,745.0,749.0,19.0,0.0,749.0,745.0,461.0,878.88,0.0,9.0,512.8613509561445,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,12
1200.0,36.0,11.54,39.6,1.0,20000.0,2.04,660.0,664.0,24.0,0.0,629.0,625.0,38.0,225.37,0.0,36.0,43.65149043656443,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15
5000.0,36.0,7.43,155.38,6.0,40000.0,2.55,770.0,774.0,0.0,0.0,719.0,715.0,269.0,593.64,0.0,37.0,111.93582508038024,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2
5750.0,36.0,7.43,178.69,10.0,125000.0,0.27,790.0,794.0,0.0,0.0,799.0,795.0,246.0,671.74,0.0,34.0,137.56721216777987,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2
3500.0,36.0,10.28,113.39,1.0,20000.0,1.5,680.0,684.0,0.0,0.0,829.0,825.0,46.0,582.16,0.0,38.0,106.93353647024563,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11
18500.0,36.0,15.33,644.3,1.0,90000.0,5.24,660.0,664.0,0.0,0.0,714.0,710.0,58.0,1542.61,0.0,8.0,956.5146010666714,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27
4000.0,36.0,7.75,124.89,1.0,61800.0,3.46,745.0,749.0,0.0,0.0,584.0,580.0,83.0,495.84,0.0,37.0,93.4948108413445,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3
12750.0,36.0,15.33,444.05,1.0,60000.0,19.52,665.0,669.0,0.0,0.0,669.0,665.0,89.0,1063.15,0.0,8.0,659.2194385645314,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27
5400.0,36.0,12.17,179.8,1.0,35000.0,7.1,660.0,664.0,42.0,0.0,664.0,660.0,97.0,1046.05,0.0,32.0,227.1745036353879,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17
3000.0,36.0,8.7,94.98,5.0,62000.0,12.23,735.0,739.0,0.0,0.0,794.0,790.0,90.0,158.89,0.0,9.0,92.71861921243152,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6
4000.0,36.0,9.64,128.41,1.0,100000.0,15.0,720.0,724.0,11.87295081967213,4.016460905349795,724.0,720.0,99.0,622.49,0.0,37.0,117.37573572246804,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,9
2800.0,36.0,8.7,88.65,1.0,120000.0,15.0,740.0,744.0,11.87295081967213,4.016460905349795,744.0,740.0,99.0,391.22,0.0,37.0,73.7678281246991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6
3000.0,36.0,7.75,93.67,9.0,50000.0,5.35,760.0,764.0,0.0,0.0,764.0,760.0,275.0,125.44,0.0,8.0,77.78063901945617,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3
3000.0,36.0,7.75,93.67,10.0,125000.0,2.14,760.0,764.0,0.0,0.0,764.0,760.0,275.0,125.46,0.0,8.0,77.79304026929984,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
4000.0,36.0,10.91,130.79,1.0,18000.0,18.0,705.0,709.0,0.0,0.0,654.0,650.0,72.0,708.07,0.0,36.0,137.14474345928102,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13
2000.0,36.0,8.7,63.32,1.0,70000.0,6.07,710.0,714.0,24.0,0.0,789.0,785.0,84.0,279.43,0.0,36.0,54.12226992363311,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6
4000.0,36.0,7.43,124.31,1.0,40000.0,3.45,770.0,774.0,0.0,0.0,699.0,695.0,57.0,474.38,0.0,36.0,91.8817679074297,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2
8000.0,36.0,9.96,257.99,3.0,48000.0,15.13,720.0,724.0,0.0,0.0,679.0,675.0,87.0,1199.51,0.0,33.0,252.8699082936048,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10
7500.0,36.0,8.07,235.25,1.0,150000.0,2.72,755.0,759.0,0.0,0.0,759.0,755.0,171.0,326.51,0.0,7.0,215.5238057636335,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4
5000.0,36.0,7.43,155.38,1.0,70000.0,4.56,810.0,814.0,0.0,0.0,814.0,810.0,323.0,495.83,0.0,22.0,152.4530605083244,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2
5000.0,36.0,7.75,156.11,1.0,225000.0,6.48,750.0,754.0,47.0,0.0,739.0,735.0,176.0,592.07,0.0,29.0,141.27807762698973,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
10000.0,36.0,13.75,340.57,1.0,35000.0,17.38,705.0,709.0,44.0,0.0,699.0,695.0,89.0,2260.31,0.0,36.0,437.795182804592,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22
5000.0,36.0,9.64,160.51,3.0,130000.0,8.55,710.0,714.0,38.0,0.0,769.0,765.0,196.0,778.09,0.0,36.0,150.70678525884725,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9
5000.0,36.0,7.43,155.38,4.0,200000.0,0.28,770.0,774.0,0.0,0.0,774.0,770.0,149.0,174.19,0.0,7.0,114.97991401784725,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2
3500.0,36.0,9.96,112.87,1.0,78000.0,11.06,700.0,704.0,5.0,0.0,759.0,755.0,165.0,563.32,0.0,36.0,109.10838883935511,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,10
3500.0,36.0,8.07,109.79,5.0,98000.0,8.52,750.0,754.0,15.0,0.0,784.0,780.0,165.0,452.17,0.0,36.0,87.57995487731876,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4
3000.0,36.0,11.86,99.44,2.0,36153.0,7.47,665.0,669.0,0.0,61.0,689.0,685.0,85.0,579.66,0.0,36.0,112.27325263548354,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16
12000.0,36.0,11.86,397.75,1.0,65000.0,7.14,680.0,684.0,2.0,0.0,524.0,520.0,288.0,2341.57,0.0,43.0,380.68182063888133,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16
5000.0,36.0,7.43,155.38,1.0,45000.0,1.12,780.0,784.0,0.0,0.0,784.0,780.0,192.0,593.63,0.0,36.0,114.97907559949302,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2
6400.0,36.0,9.64,205.45,1.0,60000.0,7.72,710.0,714.0,11.87295081967213,4.016460905349795,699.0,695.0,76.0,995.96,0.0,36.0,192.90561483427558,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9
12000.0,36.0,12.49,401.37,9.0,75000.0,15.0,680.0,684.0,78.0,0.0,679.0,675.0,148.0,2449.29,0.0,35.0,487.6350352915092,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18
7500.0,36.0,9.33,239.65,6.0,93000.0,9.66,790.0,794.0,0.0,0.0,604.0,600.0,149.0,604.15,0.0,12.0,296.99654846024896,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8
10000.0,36.0,8.07,313.67,1.0,173000.0,0.72,785.0,789.0,0.0,0.0,789.0,785.0,264.0,435.3,0.0,7.0,287.3342704631088,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4
10000.0,36.0,11.54,329.95,9.0,225000.0,20.0,725.0,729.0,0.0,0.0,769.0,765.0,339.0,1068.42,0.0,13.0,497.75189312429217,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15
5000.0,36.0,7.75,156.11,1.0,45000.0,5.0,760.0,764.0,0.0,0.0,769.0,765.0,71.0,459.64,0.0,20.0,153.50259848230306,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
9500.0,36.0,8.07,297.99,2.0,63000.0,3.49,790.0,794.0,0.0,0.0,779.0,775.0,196.0,1227.3,0.0,36.0,237.7134233163043,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
6625.0,36.0,11.22,217.6,2.0,88000.0,18.0,700.0,704.0,0.0,0.0,679.0,675.0,123.0,549.09,0.0,11.0,285.3096651744425,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14
12125.0,36.0,8.7,383.87,10.0,150000.0,4.8,765.0,769.0,0.0,0.0,764.0,760.0,439.0,1694.08,0.0,36.0,328.123161551116,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6
5000.0,36.0,7.43,155.38,10.0,65000.0,0.28,800.0,804.0,11.87295081967213,4.016460905349795,804.0,800.0,153.0,200.46,0.0,7.0,132.32030291071626,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2
4800.0,36.0,11.22,157.66,5.0,30000.0,12.36,680.0,684.0,0.0,0.0,699.0,695.0,59.0,875.57,0.0,36.0,169.58750269131963,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14
10000.0,36.0,10.28,323.99,3.0,120000.0,14.4,720.0,724.0,0.0,0.0,744.0,740.0,154.0,1663.56,0.0,37.0,313.6782581542979,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11
7000.0,36.0,12.49,234.15,1.0,23000.0,5.01,660.0,664.0,0.0,0.0,524.0,520.0,37.0,1540.68,0.0,38.0,282.9984213428922,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,18
6500.0,36.0,10.28,210.6,1.0,45000.0,5.87,690.0,694.0,0.0,0.0,704.0,700.0,57.0,1088.05,0.0,37.0,205.16099736996784,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11
17000.0,36.0,9.33,543.2,10.0,75000.0,9.55,760.0,764.0,0.0,0.0,749.0,745.0,188.0,2555.19,0.0,36.0,494.90993410216555,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8
2850.0,36.0,11.86,94.47,3.0,45000.0,2.8,665.0,669.0,4.0,0.0,764.0,760.0,180.0,531.65,0.0,31.0,119.0407199569342,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,16
2000.0,36.0,7.12,61.87,10.0,118000.0,0.43,770.0,774.0,11.87295081967213,4.016460905349795,804.0,800.0,195.0,219.43,0.0,31.0,49.13214554716462,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
3000.0,36.0,10.28,97.2,1.0,38000.0,19.93,685.0,689.0,59.0,0.0,539.0,535.0,85.0,499.05,0.0,37.0,94.10008339458896,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,11
4925.0,36.0,9.96,158.83,10.0,84000.0,4.84,725.0,729.0,0.0,0.0,699.0,695.0,208.0,739.12,0.0,32.0,160.5173931714429,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10
4800.0,36.0,11.54,158.38,1.0,25000.0,18.19,670.0,674.0,9.0,0.0,709.0,705.0,85.0,901.52,0.0,37.0,169.9891938320605,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15
5000.0,36.0,10.59,162.73,1.0,15000.0,24.4,735.0,739.0,0.0,0.0,634.0,630.0,105.0,826.81,0.0,36.0,160.143270212787,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,12
7000.0,36.0,10.28,226.8,2.0,55400.0,10.05,690.0,694.0,0.0,0.0,759.0,755.0,62.0,850.41,0.0,19.0,296.56014359344056,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11
6225.0,36.0,11.54,205.4,1.0,45000.0,17.76,715.0,719.0,0.0,0.0,664.0,660.0,49.0,665.12,0.0,14.0,294.1349044008593,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15
5275.0,36.0,9.64,169.32,1.0,70000.0,17.57,735.0,739.0,0.0,0.0,724.0,720.0,179.0,820.49,0.0,37.0,154.71030442726428,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,9
8275.0,36.0,8.07,259.58,9.0,49000.0,9.89,770.0,774.0,0.0,0.0,774.0,770.0,324.0,264.47,0.0,6.0,186.18748844727395,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
2825.0,36.0,9.64,90.68,3.0,70000.0,18.0,730.0,734.0,0.0,0.0,779.0,775.0,121.0,439.4,0.0,37.0,82.85257317619954,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,9
